Gene	withingroup.factor	acrossgroup.factor	rescale.factor
ARHGEF4	1	1	1
ARHGEF40	1	1.105	1.105
ARHGEF5	1	1	1
ARHGEF6	1.657	2.321	2.321
ARHGEF7	1.235	1.7	1.7
ARHGEF7-AS1	1	1	1
ARHGEF7-AS2	1	1	1
ARHGEF7-IT1	1	1	1
ARHGEF9	1	1.127	1.127
ARHGEF9-IT1	1	1	1
ARID1A	1.427	1.156	1.427
ARID1B	1.793	2.442	2.442
ARID2	1.402	1.136	1.402
ARID3A	1	1.631	1.631
ARID3B	1.359	3.657	3.657
ARID3C	1	1	1
ARID4A	1.678	2.249	2.249
ARID4B	1.787	4.545	4.545
ARID4B-IT1	1	1	1
ARID5A	1	1.359	1.359
ARID5B	1.002	2.234	2.234
ARIH1	2.455	3.642	3.642
ARIH2	1	1.026	1.026
ARIH2OS	1	1	1
ARL1	1.061	1.556	1.556
ARL10	1	1	1
ARL11	1	1	1
ARL13A	1	1	1
ARL13B	1.095	1.115	1.115
ARL14	1	1	1
ARL14EP	1	1.174	1.174
ARL14EPL	1	1	1
ARL15	1.04	1.867	1.867
ARL16	1	1.435	1.435
ARL17	1	1	1
ARL17A	1	1	1
ARL17B	1	1	1
ARL2	3.382	8.062	8.062
ARL2BP	1	2.276	2.276
ARL2BPP3	1	1	1
ARL3	2.907	1.022	2.907
ARL4A	1	1	1
ARL4C	2.138	2.129	2.138
ARL4D	1.03	1.216	1.216
ARL5A	1.676	3.231	3.231
ARL5B	1.125	4.377	4.377
ARL5B-AS1	1.012	1	1.012
ARL5C	1	1	1
ARL6	1.479	1	1.479
ARL6IP1	4.475	9.467	9.467
ARL6IP4	1.853	11.43	11.43
ARL6IP5	1.084	1.429	1.429
ARL6IP6	1.377	1.351	1.377
ARL8A	1.259	3.032	3.032
ARL8B	1.042	2.344	2.344
ARL9	1	1	1
ARMC1	1.163	2.827	2.827
ARMC10	1	2.178	2.178
ARMC12	1	1	1
ARMC2	1	1	1
ARMC2-AS1	1	1	1
ARMC3	1	1	1
ARMC4	1	1	1
ARMC4P1	1	1	1
ARMC5	1	1.995	1.995
ARMC6	1.685	7.249	7.249
ARMC7	1.024	1.938	1.938
ARMC8	1.209	1.534	1.534
ARMC9	1.154	1	1.154
ARMCX1	1	1	1
ARMCX2	1	1	1
ARMCX3	2.726	1.507	2.726
ARMCX3-AS1	1	1	1
ARMCX4	1	1	1
ARMCX5	2.272	1	2.272
ARMCX6	1.779	1	1.779
ARMS2	1	1	1
ARNT	1.136	1.141	1.141
ARNT2	1.208	1.49	1.49
ARNTL	1.051	1.293	1.293
ARNTL2	1.097	1	1.097
ARPC1A	1.833	1.498	1.833
ARPC1B	1.037	1.705	1.705
ARPC2	2.73	3.273	3.273
ARPC3	1.183	3.211	3.211
ARPC4	4.219	5.139	5.139
ARPC4-TTLL3	1	1	1
ARPC5	2.701	2.495	2.701
ARPC5L	1	2.962	2.962
ARPP19	2.153	3.115	3.115
ARPP21	1	1	1
ARPP21-AS1	1	1	1
ARR3	1	1	1
ARRB1	1	2.151	2.151
ARRB2	1.104	5.477	5.477
ARRDC1	1.287	1.113	1.287
ARRDC2	1	1.025	1.025
ARRDC3	1.326	2.844	2.844
ARRDC4	1.034	1	1.034
ARRDC5	1	1	1
ARSA	1	1.068	1.068
ARSB	1.189	1.371	1.371
ARSD	1.065	2.931	2.931
ARSD-AS1	1	1	1
ARSE	1	1	1
ARSEP1	1	1	1
ARSF	1	1	1
ARSG	1.03	1	1.03
ARSH	1	1	1
ARSI	1	1.03	1.03
ARSJ	1	1	1
ARSK	1	1.444	1.444
ART1	1	1	1
ART3	1	1	1
ART4	1	1	1
ART5	1	1.296	1.296
ARTN	1	1	1
ARV1	1.277	1	1.277
ARVCF	1.058	1.009	1.058
ARX	1.405	1.586	1.586
AS3MT	1	1.115	1.115
ASAH1	1.147	1.083	1.147
ASAH2	1	1	1
ASAH2B	1	1	1
ASAH2C	1	1	1
ASAP1	1.172	2.318	2.318
ASAP2	1.713	1.081	1.713
ASAP3	1	1.365	1.365
ASB1	1.052	1.469	1.469
ASB10	1	1	1
ASB11	1	1	1
ASB12	1	1	1
ASB13	1	2.946	2.946
ASB14	1	1	1
ASB15	1	1	1
ASB16	1	1	1
ASB16-AS1	1.012	1.097	1.097
ASB17	1	1	1
ASB18	1	1	1
ASB2	1	1	1
ASB3	1	1	1
ASB4	1	1	1
ASB5	1	1	1
ASB6	1	1.135	1.135
ASB7	1.267	1.251	1.267
ASB8	1.079	1.031	1.079
ASB9	1	1	1
ASCC1	1.3	2.068	2.068
ASCC2	1.134	1	1.134
ASCC3	1.123	1.395	1.395
ASCL1	1	1	1
ASCL2	1	1	1
ASCL3	1	1	1
ASCL4	1	1	1
ASCL5	1	1	1
ASF1A	1.423	1.176	1.423
ASF1B	2.138	3.032	3.032
ASGR1	1	1	1
ASGR2	1	1	1
ASH1L	1.241	1.686	1.686
ASH1L-AS1	1.077	1.153	1.153
ASH1L-IT1	1	1	1
ASH2L	1.41	2.739	2.739
ASIC1	1.577	2.535	2.535
ASIC2	1	1	1
ASIC3	1.07	1.167	1.167
ASIC4	1	1	1
ASIC5	1	1	1
ASIP	1	1	1
ASL	1	1.259	1.259
ASMT	1	1	1
ASMTL	1.353	3.417	3.417
ASMTL-AS1	1	1	1
ASNA1	2.485	1.886	2.485
ASNS	1	1.133	1.133
ASNSD1	1.514	1.088	1.514
ASPA	1	1	1
ASPDH	1	1	1
ASPG	1	1	1
ASPH	1.497	2.556	2.556
ASPHD1	1	1.248	1.248
ASPHD2	1	1.025	1.025
ASPM	2.911	4.441	4.441
ASPN	1	1	1
ASPRV1	1	1	1
ASPSCR1	1	1.39	1.39
ASRGL1	1.759	3.66	3.66
ASS1	1.051	1.789	1.789
ASTE1	1	1	1
ASTL	1	1	1
ASTN1	1	1	1
ASTN2	1.304	1.779	1.779
ASUN	1.048	1.222	1.222
ASXL1	1.193	1.31	1.31
ASXL2	1.595	2.651	2.651
ASXL3	1	1	1
ASZ1	1	1	1
ATAD1	1.358	3.282	3.282
ATAD2	2.466	2.414	2.466
ATAD2B	1.672	1.57	1.672
ATAD3A	1.354	4.348	4.348
ATAD3B	1.64	3.321	3.321
ATAD3C	1	1.249	1.249
ATAD5	1.577	1.212	1.577
ATAT1	1.026	1.464	1.464
ATCAY	1	1	1
ATE1	1	1.58	1.58
ATF1	1.116	1.381	1.381
ATF2	1.921	1.402	1.921
ATF3	1.466	1.063	1.466
ATF4	2.233	3.268	3.268
ATF4P4	1	1	1
ATF5	2.41	2.001	2.41
ATF6	1.073	1.21	1.21
ATF6B	6.213	3.452	6.213
ATF7	1.317	1	1.317
ATF7IP	1.059	1.079	1.079
ATF7IP2	1.047	1	1.047
ATG10	1	1.076	1.076
ATG10-AS1	1	1	1
ATG10-IT1	1	1	1
ATG12	1.508	1.158	1.508
ATG13	1.14	1.108	1.14
ATG14	1.099	1	1.099
ATG16L1	1.077	1	1.077
ATG16L2	1.341	1.388	1.388
ATG2A	1.063	2.272	2.272
ATG2B	1.066	1.554	1.554
ATG3	3.486	1.115	3.486
ATG4A	1	1	1
ATG4B	1.64	1.744	1.744
ATG4C	2.042	1.225	2.042
ATG4D	1.048	3.804	3.804
ATG5	1.254	1.324	1.324
ATG7	1	1	1
ATG9A	1.492	3.887	3.887
ATG9B	1	1	1
ATHL1	1.096	1.54	1.54
ATIC	1.691	2.508	2.508
ATL1	1.488	1.131	1.488
ATL2	1	1.476	1.476
ATL3	1.502	1.783	1.783
ATM	1.005	1.026	1.026
ATMIN	1	1.039	1.039
ATN1	1.145	1.064	1.145
ATOH1	1	1	1
ATOH7	1	1	1
ATOH8	1	1	1
ATOX1	1.71	5.202	5.202
ATP10A	1.043	1	1.043
ATP10B	1	1	1
ATP10D	2.048	5.534	5.534
ATP11A	1.821	1.332	1.821
ATP11A-AS1	1	1	1
ATP11B	1.098	1.068	1.098
ATP11C	1.701	1.162	1.701
ATP12A	1	1	1
ATP13A1	1	2.428	2.428
ATP13A2	1.13	1.157	1.157
ATP13A3	1.52	1.692	1.692
ATP13A4	1	1	1
ATP13A4-AS1	1	1	1
ATP13A5	1	1	1
ATP13A5-AS1	1	1	1
ATP1A1	1.232	1.188	1.232
ATP1A1OS	1	1	1
ATP1A2	1	1	1
ATP1A3	1	1.435	1.435
ATP1A4	1	1	1
ATP1B1	1.302	5.3	5.3
ATP1B2	1	1.084	1.084
ATP1B3	2.091	1.966	2.091
ATP1B3-AS1	1	1	1
ATP1B4	1	1	1
ATP2A1	1	1	1
ATP2A2	2.037	4.168	4.168
ATP2A3	1	1	1
ATP2B1	1.239	1.494	1.494
ATP2B2	1	1	1
ATP2B2-IT1	1	1	1
ATP2B2-IT2	1	1	1
ATP2B3	1	1	1
ATP2B4	1.081	1.301	1.301
ATP2C1	2.755	1.374	2.755
ATP2C2	1	1	1
ATP4A	1	1	1
ATP4B	1	1	1
ATP5A1	8.782	5.065	8.782
ATP5B	3.596	9.391	9.391
ATP5C1	1.586	3.848	3.848
ATP5D	1.779	8.943	8.943
ATP5E	3.331	6.638	6.638
ATP5EP2	3.23	5.23	5.23
ATP5F1	2.624	6.286	6.286
ATP5G1	6.385	9.163	9.163
ATP5G2	12.13	14.02	14.02
ATP5G3	2.682	12.97	12.97
ATP5H	2.543	2.474	2.543
ATP5I	1.93	20.26	20.26
ATP5J	7.816	4.39	7.816
ATP5J2	4.682	5.251	5.251
ATP5J2-PTCD1	1	1	1
ATP5L	3.086	2.804	3.086
ATP5L2	1	1.141	1.141
ATP5O	1.148	1.456	1.456
ATP5S	1.245	1.075	1.245
ATP5SL	1.607	1.983	1.983
ATP6AP1	4.224	5.134	5.134
ATP6AP1L	1	1	1
ATP6AP2	1.78	4.487	4.487
ATP6C	1	1	1
ATP6V0A1	1.427	3.778	3.778
ATP6V0A2	1.291	1.157	1.291
ATP6V0A4	1	1	1
ATP6V0B	3.01	5.076	5.076
ATP6V0C	7.122	57.47	57.47
ATP6V0D1	1.951	4.88	4.88
ATP6V0D2	1	1	1
ATP6V0E1	1.719	3.647	3.647
ATP6V0E2	3.994	1.831	3.994
ATP6V0E2-AS1	1	1	1
ATP6V1A	1.794	3.459	3.459
ATP6V1B1	1	1	1
ATP6V1B2	3.203	1.971	3.203
ATP6V1C1	2.314	1.155	2.314
ATP6V1C2	1.032	1	1.032
ATP6V1D	1.771	3.307	3.307
ATP6V1E1	1.993	4.58	4.58
ATP6V1E2	1.057	1	1.057
ATP6V1F	2.882	2.183	2.882
ATP6V1G1	2.17	4.161	4.161
ATP6V1G2	1	1	1
ATP6V1G2-DDX39B	1	1	1
ATP6V1G3	1	1	1
ATP6V1H	3.302	1.202	3.302
ATP7A	1.137	1.583	1.583
ATP7B	1	1.059	1.059
ATP8A1	1	1.9	1.9
ATP8A2	1.053	1.881	1.881
ATP8B1	1	1	1
ATP8B2	1	1.049	1.049
ATP8B3	1	1.113	1.113
ATP8B4	1	1	1
ATP8B5P	2.216	4.956	4.956
ATP9A	1.947	4.859	4.859
ATP9B	1	1	1
ATPAF1	1.458	1	1.458
ATPAF2	1	1.17	1.17
ATPIF1	1.074	2.329	2.329
ATR	1	1.593	1.593
ATRAID	1.096	3.047	3.047
ATRIP	1	2.23	2.23
ATRN	1.375	2.081	2.081
ATRNL1	1	1.001	1.001
ATRX	3.494	3.626	3.626
ATXN1	1.12	1.762	1.762
ATXN10	1.54	3.918	3.918
ATXN1L	1.072	1.8	1.8
ATXN2	1.146	1.699	1.699
ATXN2L	2.144	2.43	2.43
ATXN3	1.034	1	1.034
ATXN3L	1	1	1
ATXN7	1	2.643	2.643
ATXN7L1	1.023	1.388	1.388
ATXN7L2	1.042	1.303	1.303
ATXN7L3	2.117	3.953	3.953
ATXN7L3B	1.097	1.266	1.266
ATXN8OS	1	1	1
AUH	1.484	1.405	1.484
AUNIP	1	1	1
AUP1	1.046	5	5
AURKA	5.782	6.509	6.509
AURKAIP1	2.96	7.07	7.07
AURKB	8.23	7.03	8.23
AURKC	1	1	1
AUTS2	1.446	2.976	2.976
AVEN	1	1.504	1.504
AVIL	1	1	1
AVL9	1.176	2.208	2.208
AVP	1	1	1
AVPI1	1	1.238	1.238
AVPR1A	1	1	1
AVPR1B	1	1	1
AVPR2	1	1	1
AWAT1	1	1	1
AWAT2	1	1	1
AXDND1	1	1	1
AXIN1	1.216	1.742	1.742
AXIN2	1.028	1	1.028
AXL	1	1	1
AY269186.1	1	1	1
AY269186.2	1	1	1
AZGP1	1	1	1
AZGP1P1	1	1	1
AZI1	1.002	2.346	2.346
AZI2	1.404	2.121	2.121
AZIN1	2.874	4.044	4.044
AZU1	1	1	1
B2M	5.314	9.441	9.441
B3GALNT1	1	1	1
B3GALNT2	1	1.102	1.102
B3GALT1	1.056	1.012	1.056
B3GALT2	1	1	1
B3GALT4	1	1	1
B3GALT5	1	1	1
B3GALT6	1	1.756	1.756
B3GALTL	1.049	1.743	1.743
B3GAT1	1	1.02	1.02
B3GAT2	1	1	1
B3GAT3	1.842	3.452	3.452
B3GNT1	2.624	2.985	2.985
B3GNT2	1	1.205	1.205
B3GNT3	1	1	1
B3GNT4	1	1	1
B3GNT5	1	2.219	2.219
B3GNT6	1	1	1
B3GNT7	1	1	1
B3GNT8	1	1	1
B3GNT9	1	1	1
B3GNTL1	1	1	1
B4GALNT1	1.034	1	1.034
B4GALNT2	1	1	1
B4GALNT3	1	1	1
B4GALNT4	1.015	1.431	1.431
B4GALT1	1	1.701	1.701
B4GALT2	2.181	6.295	6.295
B4GALT3	1.46	2.351	2.351
B4GALT4	1.034	1.707	1.707
B4GALT4-AS1	1	1	1
B4GALT5	2.324	2.079	2.324
B4GALT6	1	1	1
B4GALT7	1.04	1.29	1.29
B9D1	1	1	1
B9D2	1.028	2.375	2.375
BAALC	1	1	1
BAAT	1	1	1
BABAM1	1.728	3.088	3.088
BACE1	1.334	1.828	1.828
BACE2	1	1	1
BACE2-IT1	1	1	1
BACH1	1.158	1	1.158
BACH1-AS1	1	1	1
BACH1-IT1	1	1	1
BACH1-IT2	1	1	1
BACH1-IT3	1	1	1
BACH2	1	1	1
BAD	1.15	2.268	2.268
BAG1	1.025	3.005	3.005
BAG2	2.629	1.34	2.629
BAG3	1.51	2.092	2.092
BAG4	1.292	1.733	1.733
BAG5	1	1.186	1.186
BAG6	5.502	5.317	5.502
BAGE2	1	1	1
BAGE5	1	1	1
BAHD1	1.14	2.658	2.658
BAI1	1	1	1
BAI2	1	1	1
BAI3	1	1	1
BAIAP2	1.07	2.629	2.629
BAIAP2-AS1	1.027	1.334	1.334
BAIAP2L1	1.141	1.03	1.141
BAIAP2L2	1	1	1
BAIAP3	1	1	1
BAK1	1.122	2.361	2.361
BAMBI	1.154	1.063	1.154
BANF1	1.447	2.38	2.38
BANF2	1	1	1
BANK1	1	1	1
BANP	2.262	2.211	2.262
BAP1	1	2.326	2.326
BARD1	1	2.951	2.951
BARHL1	1	1	1
BARHL2	1.013	1	1.013
BARX1	1	1	1
BARX2	1	1	1
BASP1	1.347	3.427	3.427
BATF	1	1	1
BATF2	1	1	1
BATF3	1	1.01	1.01
BAX	1	2.109	2.109
BAZ1A	3.129	1.895	3.129
BAZ1B	1.545	3.944	3.944
BAZ2A	1.244	1.364	1.364
BAZ2B	1.498	1.352	1.498
BBC3	1.403	6.398	6.398
BBIP1	2.034	2.089	2.089
BBOX1	1	1	1
BBS1	1	1.17	1.17
BBS10	1	1.277	1.277
BBS12	1.056	1.074	1.074
BBS2	1.055	1.492	1.492
BBS4	1.263	1.452	1.452
BBS5	1	1.631	1.631
BBS7	1.028	1.026	1.028
BBS9	1.174	1	1.174
BBX	2.075	1.105	2.075
BCAM	1	1.034	1.034
BCAN	1	1	1
BCAP29	1.005	1.046	1.046
BCAP31	2.679	4.07	4.07
BCAR1	3.82	1.546	3.82
BCAR3	1	1	1
BCAR4	1	1	1
BCAS1	1	1	1
BCAS2	2.241	1.873	2.241
BCAS3	1	1.766	1.766
BCAS4	2.36	2.742	2.742
BCAT1	5.143	7.124	7.124
BCAT2	1.241	1.838	1.838
BCCIP	2.826	2.875	2.875
BCDIN3D	1.026	1.141	1.141
BCDIN3D-AS1	1	1	1
BCHE	1.069	1	1.069
BCKDHA	1.944	5.712	5.712
BCKDHB	1.011	1.165	1.165
BCKDK	1.264	2.977	2.977
BCL10	1.604	2.425	2.425
BCL11A	1	1.83	1.83
BCL11B	1	2.214	2.214
BCL2	1	1	1
BCL2A1	1	1.152	1.152
BCL2L1	1.18	1.279	1.279
BCL2L10	1	1	1
BCL2L11	1.564	1.33	1.564
BCL2L12	5.528	3.086	5.528
BCL2L13	1.685	1.084	1.685
BCL2L14	1	1	1
BCL2L15	1	1	1
BCL2L2	1.047	1.128	1.128
BCL2L2-PABPN1	2.385	1.784	2.385
BCL3	1.415	1.065	1.415
BCL6	1	1.293	1.293
BCL6B	1	1	1
BCL7A	1.342	1.501	1.501
BCL7B	1	1.346	1.346
BCL7C	1.558	3.402	3.402
BCL9	1.466	1.467	1.467
BCL9L	1.904	2.11	2.11
BCLAF1	2.907	1.146	2.907
BCMO1	1	1	1
BCO2	1	1	1
BCOR	1.176	2.591	2.591
BCORL1	1.529	1	1.529
BCORP1	1	1	1
BCR	1.005	1.498	1.498
BCRP2	1	1	1
BCS1L	1.52	2.899	2.899
BCYRN1	6.46	20.93	20.93
BDH1	1	1.136	1.136
BDH2	1.635	1.057	1.635
BDKRB1	1	1	1
BDKRB2	1	1	1
BDNF	1	1	1
BDNF-AS	1	1	1
BDP1	2.299	1.13	2.299
BEAN1	1	1	1
BECN1	1.825	2.621	2.621
BEGAIN	1	1	1
BEND2	1	1	1
BEND3	1.662	1.356	1.662
BEND4	1	1	1
BEND5	1	1	1
BEND6	1	1	1
BEND7	1.167	1.424	1.424
BEST1	1	1	1
BEST2	1	1	1
BEST3	1	1	1
BEST4	1	1	1
BET1	1.084	1.573	1.573
BET1L	1.366	2.503	2.503
BEX1	1	1	1
BEX2	1	1	1
BEX4	2.072	1.619	2.072
BEX5	1.687	3.541	3.541
BFAR	1.096	1.447	1.447
BFSP1	1.302	1.159	1.302
BFSP2	1	1	1
BFSP2-AS1	1	1	1
BGLAP	1	1	1
BGN	1	1	1
BHLHA15	1	1	1
BHLHA9	1	1	1
BHLHB9	1.212	1.093	1.212
BHLHE22	1.106	1.102	1.106
BHLHE23	1	1	1
BHLHE40	1.366	1	1.366
BHLHE40-AS1	1	1	1
BHLHE41	1	1	1
BHMT	1	1	1
BHMT2	1	1	1
BICC1	1.14	1	1.14
BICD1	1.304	1.111	1.304
BICD2	1.082	1.145	1.145
BID	1.43	1.685	1.685
BIK	1	2.032	2.032
BIN1	1	1.31	1.31
BIN2	1	1	1
BIN3	1.342	1	1.342
BIRC2	1.049	3.445	3.445
BIRC3	1	1	1
BIRC5	2.922	8.119	8.119
BIRC6	2.285	1.241	2.285
BIRC6-AS1	1	1	1
BIRC7	1	1	1
BIRC8	1	1	1
BIVM	1.119	1.619	1.619
BIVM-ERCC5	1	1	1
BLACE	1	1	1
BLCAP	1	1.269	1.269
BLID	1	1	1
BLK	1	1	1
BLM	1.019	1	1.019
BLMH	1.198	1.989	1.989
BLNK	1	1	1
BLOC1S1	1.685	2.781	2.781
BLOC1S2	2.086	1.361	2.086
BLOC1S3	1.435	4.655	4.655
BLOC1S4	1.154	2.011	2.011
BLOC1S5	1.013	1.052	1.052
BLOC1S5-TXNDC5	1.14	1.032	1.14
BLOC1S6	1.641	1.621	1.641
BLVRA	1.32	1.597	1.597
BLVRB	1.286	2.941	2.941
BLZF1	1.615	1.273	1.615
BMF	1.025	1.524	1.524
BMI1	1.21	3.028	3.028
BMP1	1	1.752	1.752
BMP10	1	1	1
BMP15	1	1	1
BMP2	1	1.356	1.356
BMP2K	1	1	1
BMP3	1	1.025	1.025
BMP4	1	1.052	1.052
BMP5	1	1	1
BMP6	1	1	1
BMP7	1	1.082	1.082
BMP8A	1	1	1
BMP8B	1.081	1.362	1.362
BMPER	1	1	1
BMPR1A	3.077	1	3.077
BMPR1B	1.104	1	1.104
BMPR2	1.351	2.121	2.121
BMS1	2.252	1.68	2.252
BMS1P1	1	1	1
BMS1P17	1	1	1
BMS1P18	1	1	1
BMS1P2	1	1	1
BMS1P20	1	1.239	1.239
BMS1P4	1	1	1
BMS1P5	1	1	1
BMS1P8	1	1	1
BMX	1	1	1
BNC1	1	1	1
BNC2	1	1	1
BNIP1	1.112	1.008	1.112
BNIP2	2.169	3.555	3.555
BNIP3	1.099	3.015	3.015
BNIP3L	2.828	2.643	2.828
BNIP3P1	1.49	6.799	6.799
BNIPL	1	1	1
BOC	1	1	1
BOD1	2.406	2.047	2.406
BOD1L1	2.792	1.29	2.792
BOD1L2	1	1	1
BOK	1.009	1	1.009
BOK-AS1	1	1	1
BOLA1	1	1	1
BOLA2	1	4.683	4.683
BOLA2B	1.01	6.808	6.808
BOLA3	3.494	2.383	3.494
BOLA3-AS1	1.03	1.642	1.642
BOLL	1	1	1
BOP1	2.167	6.642	6.642
BORA	1	1.52	1.52
BPESC1	1	1	1
BPGM	1	1.08	1.08
BPHL	1.072	1.23	1.23
BPI	1	1	1
BPIFA1	1	1	1
BPIFA2	1	1	1
BPIFA3	1	1	1
BPIFA4P	1	1	1
BPIFB1	1	1	1
BPIFB2	1	1	1
BPIFB3	1	1	1
BPIFB4	1	1	1
BPIFB6	1	1	1
BPIFB9P	1	1	1
BPIFC	1	1	1
BPNT1	1.108	1.006	1.108
BPTF	3.028	2.02	3.028
BPY2	1	1	1
BPY2B	1	1	1
BPY2C	1	1	1
BRAF	1	1	1
BRAP	1.34	1.179	1.34
BRAT1	1	1	1
BRCA1	1.317	1.832	1.832
BRCA2	1.211	1.029	1.211
BRCC3	2.218	2	2.218
BRD1	1	1.174	1.174
BRD2	1.871	6.175	6.175
BRD2-IT1	1	1	1
BRD3	6.959	8.75	8.75
BRD4	1.166	3.159	3.159
BRD7	1.108	1.583	1.583
BRD8	1	3.397	3.397
BRD9	1.416	5.015	5.015
BRDT	1	1	1
BRE	1.45	2.179	2.179
BRF1	1.308	1.51	1.51
BRF2	1	1.271	1.271
BRI3	2.271	2.627	2.627
BRI3BP	1.037	1.033	1.037
BRICD5	1.16	1	1.16
BRINP1	1	1	1
BRINP2	1	1	1
BRINP3	1	1	1
BRIP1	1.162	1.275	1.275
BRIX1	2.68	2.673	2.68
BRK1	1.814	2.721	2.721
BRMS1	1.074	2.951	2.951
BRMS1L	1.038	1.418	1.418
BROX	1.749	1.589	1.749
BRPF1	1.214	1.35	1.35
BRPF3	1.226	1.883	1.883
BRS3	1	1	1
BRSK1	1.026	1.127	1.127
BRSK2	1.011	2.473	2.473
BRWD1	1.304	1.82	1.82
BRWD1-AS1	1	1	1
BRWD1-IT1	1	1	1
BRWD1-IT2	1	1	1
BRWD3	1.251	1.514	1.514
BSCL2	1.759	1.424	1.759
BSDC1	1.23	1	1.23
BSG	2.709	1.231	2.709
BSN	1	1	1
BSN-AS1	1	1	1
BSN-AS2	1	1	1
BSND	1	1	1
BSPH1	1	1	1
BSPRY	1	1	1
BST1	1	1.021	1.021
BST2	3.5	2.239	3.5
BSX	1	1	1
BTAF1	1.838	1.527	1.838
BTBD1	1.548	1	1.548
BTBD10	1.743	1.778	1.778
BTBD11	1.12	1	1.12
BTBD16	1	1	1
BTBD17	1	1	1
BTBD18	1	1	1
BTBD19	1	1	1
BTBD2	2.073	1.857	2.073
BTBD3	1.036	1.477	1.477
BTBD6	1.148	1.23	1.23
BTBD7	1.163	1.588	1.588
BTBD8	1	1	1
BTBD9	1	1	1
BTBD9-AS1	1	1	1
BTC	1	1	1
BTD	1.336	1.088	1.336
BTF3	5.72	3.258	5.72
BTF3L4	1.198	2.701	2.701
BTG1	1.503	2.493	2.493
BTG2	3.728	2.179	3.728
BTG3	2.128	1.349	2.128
BTG4	1	1	1
BTK	1	1	1
BTLA	1	1	1
BTN1A1	1	1	1
BTN2A1	1.733	1.046	1.733
BTN2A2	1	1.082	1.082
BTN2A3P	1	1	1
BTN3A1	1	1	1
BTN3A2	1.313	1.135	1.313
BTN3A3	1.1	1.262	1.262
BTNL10	1	1	1
BTNL2	1	1	1
BTNL3	1	1	1
BTNL8	1	1	1
BTNL9	1	1	1
BTRC	1.11	1.405	1.405
BUB1	2.022	3.577	3.577
BUB1B	2.778	1.479	2.778
BUB3	2.944	7.953	7.953
BUD13	2.074	1.204	2.074
BUD31	1.103	2.465	2.465
BVES	1.226	1.119	1.226
BVES-AS1	1	1	1
BX001040.1	1	1	1
BX004987.1	1	1	1
BX005439.2	1	1	1
BX072566.1	1	1	1
BX072566.2	1	1	1
BX088523.1	1	1	1
BX088523.2	1	1	1
BX088556.1	1	1	1
BX088647.1	1	1	1
BX088651.1	1	1	1
BX088651.2	1	1	1
BX088702.1	1	1	1
BX088702.2	1	1	1
BX119917.1	1	1	1
BX119957.1	1	1	1
BX119957.2	1	1	1
BX248133.1	1	1	1
BX248321.1	1	1	1
BX248406.1	1	1	1
BX248408.2	1	1	1
BX248419.1	1	1	1
BX248507.1	1	1	1
BX248519.1	1	1	1
BX255923.1	1	1	1
BX255923.3	1	1	1
BX255972.1	1	1	1
BX276092.1	1	1	1
BX284613.1	1	1	1
BX296568.1	1	1	1
BX322557.10	1.074	1.871	1.871
BX322557.13	1	1	1
BX322559.3	1	1	1
BX323860.1	1	1	1
BX470102.3	1	1	1
BX470187.1	1	1	1
BX470194.1	1	1	1
BX511262.2	1	1	1
BX649553.1	1	1	1
BX649553.2	1	1	1
BX649553.3	1	1	1
BX649553.4	1	1	1
BX649567.1	1	1	1
BX664739.1	1	1	1
BX842679.1	1	1	1
BX908728.1	1	1	1
BX927138.1	1	1	1
BX927160.1	1	1	1
BX927168.1	1	1	1
BX927168.2	1	1	1
BX927168.3	1	1	1
BX927168.4	1	1	1
BX927320.1	1	1	1
BYSL	1.003	3.007	3.007
BZRAP1	1	1	1
BZRAP1-AS1	1	1	1
BZW1	2.24	2.951	2.951
BZW2	1.235	1	1.235
C10orf10	1.009	1	1.009
C10orf105	1	1	1
C10orf107	1	1	1
C10orf11	1	1	1
C10orf111	1.152	1.639	1.639
C10orf112	1	1	1
C10orf113	1	1	1
C10orf115	1	1	1
C10orf118	1.222	1.282	1.282
C10orf12	1	1.273	1.273
C10orf120	1	1	1
C10orf126	1	1	1
C10orf128	1	1	1
C10orf129	1	1	1
C10orf131	1	1	1
C10orf137	1.168	1.104	1.168
C10orf2	1	1.628	1.628
C10orf25	1.032	1.077	1.077
C10orf32	1.584	1.348	1.584
C10orf32-ASMT	1	1.13	1.13
C10orf35	1.01	1.051	1.051
C10orf40	1	1	1
C10orf53	1	1	1
C10orf54	1	1	1
C10orf55	1	1	1
C10orf62	1	1	1
C10orf67	1	1	1
C10orf68	1	1	1
C10orf71	1	1	1
C10orf71-AS1	1	1	1
C10orf76	1	1.49	1.49
C10orf82	1	1	1
C10orf85	1	1	1
C10orf88	1	1.061	1.061
C10orf90	1	1	1
C10orf91	1	1	1
C10orf95	1	1	1
C10orf99	1	1	1
C11orf1	1.619	1.614	1.619
C11orf16	1	1	1
C11orf21	1	1	1
C11orf24	1.347	1.144	1.347
C11orf30	1.253	1.592	1.592
C11orf31	1.686	5.539	5.539
C11orf34	1	1	1
C11orf35	1	1.17	1.17
C11orf40	1	1	1
C11orf42	1	1	1
C11orf44	1	1	1
C11orf45	1.061	1	1.061
C11orf48	1	2.51	2.51
C11orf49	1.086	1.831	1.831
C11orf52	1	1	1
C11orf53	1	1	1
C11orf54	1.685	2.729	2.729
C11orf57	1.901	1.738	1.901
C11orf58	2.902	1.333	2.902
C11orf63	1	1	1
C11orf65	1	1	1
C11orf68	1.01	1.974	1.974
